id,title,id_cate,categorySlug,gender,image1,price,slug,colors,size,descriptions,sale,active,image2
Yl1ZjDpf9s,Áo Sơ Mi Denim Sợi Chuối Tay Dài Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh012-l-blue-1-jpg-7s8p.webp,687000,ao-so-mi-denim-soi-chuoi,blue,"S,M,L,XL",Mẫu áo sơ mi denim sợi chuối tay dài nam form fitted mang đến sự kết hợp hài hòa giữa phong cách cổ điển và chất liệu bền vững. Đây là item vừa mang tính ứng dụng cao vừa phù hợp xu hướng thời trang xanh hiện nay.,0,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh012-l-blue-1-jpg-7s8p.webp
Ag1wboWkrT,Áo Sơ Mi Nam Tay Dài Cotton Kẻ Sọc Green Loose,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25shl010-green-1-jpg-3im4.webp,540000,ao-so-mi-tay-dai-nam-ke-soc-loose-010,green,"S,M,L,XL","Áo sơ mi nam tay dài kẻ sọc là lựa chọn hoàn hảo cho phong cách vừa lịch sự vừa trẻ trung. Với thiết kế kẻ sọc hiện đại, sản phẩm dễ dàng kết hợp cùng nhiều trang phục khác nhau, mang lại sự năng động và tinh tế.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25shl010-green-1-jpg-3im4.webp
HB617mOgeC,Áo Sơ Mi Nam Dài Tay Cotton Fitted Tôn Dáng,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl011-blue-1-jpg-eaym.webp,589000,ao-so-mi-nam-dai-tay-cotton-fitted-ton-dang,blue,"S,M,L,XL,XXL","Mẫu áo sơ mi nam dài tay Cotton Fitted tôn dáng là sản phẩm được Routine thiết kế theo xu hướng thời trang hiện đại, mang phong cách lịch lãm nhưng vẫn trẻ trung và dễ phối đồ.",0,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl011-blue-1-jpg-eaym.webp
JSM1sT39YP,Áo Sơ Mi Denim Nam Tay Dài Form Regular,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25dsh004-l-indigo-1-jpg-8vv1.webp,569000,ao-so-mi-denim-nam-tay-dai-regular-004,blue,"S,M,L,XL","Áo sơ mi denim nam tay dài form regular mang phong cách mạnh mẽ, cá tính nhưng vẫn giữ được sự lịch lãm. Thiết kế cổ điển với dáng vừa vặn dễ mặc, phù hợp cho nhiều hoàn cảnh từ đi làm đến đi chơi.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25dsh004-l-indigo-1-jpg-8vv1.webp
ahHmh8da7F,Áo Sơ Mi Tay Dài Nam Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl008-blue-1-jpg-6dvv.webp,589000,ao-so-mi-tay-dai-nam-fitted-008,blue,"S,M,L,XL,XXL","Áo sơ mi tay dài nam form fitted mang phong cách thanh lịch và tinh tế, là lựa chọn hoàn hảo cho môi trường công sở hoặc những dịp cần sự chỉn chu. Thiết kế cổ bẻ, hàng cúc cổ điển kết hợp với dáng ôm vừa vặn giúp tôn lên vóc dáng nam tính, tạo vẻ ngoài gọn gàng và hiện đại.",31,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl008-blue-1-jpg-6dvv.webp
WhdtEfdBQI,Áo Sơ Mi Nam Trắng Tay Dài Cafe Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl021-whitel-1-jpg-jp8f.webp,441000,ao-so-mi-tay-dai-nam-fitted-021,white,"S,M,L,XL,XXL","Chiếc áo sơ mi nam trắng dài tay này là một item không thể thiếu trong tủ đồ của quý ông, mang đến vẻ ngoài lịch lãm, hiện đại và tinh tế.",31,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl021-whitel-1-jpg-jp8f.webp
S2sYiH99J9,Áo Cuban Denim Nam Tay Ngắn Form Loose,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh005-l-indigo-1-jpg-4wbv.webp,589000,ao-cuban-denim-tay-ngan-nam-loose-005,blue,"S,M,L,XL","Áo sơ mi Cuban denim nam tay ngắn form loose là lựa chọn hoàn hảo cho phong cách phóng khoáng và cá tính. Thiết kế cổ Cuban đặc trưng mang hơi thở retro hiện đại, kết hợp cùng chất liệu denim bền chắc, tạo nên một item vừa thoải mái vừa thời trang.",12,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh005-l-indigo-1-jpg-4wbv.webp
Fj0DHQVKEQ,Áo Sơ Mi Nam Tay Dài Cotton Túi Ngực Thêu Chữ,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25shl030-white-1-jpg-pbn7.webp,540000,ao-so-mi-tay-dai-nam-theu-tui-loose-030,white,"S,M,L,XL","Áo sơ mi nam tay dài form loose mang phong cách trẻ trung, phóng khoáng với dáng rộng thoải mái. Thiết kế cổ điển dễ mặc, phù hợp cả đi làm lẫn đi chơi.",31,1,https://media.routine.vn/1200x1500/prod/product/10s25shl030-white-1-jpg-pbn7.webp
UBj4arj5WA,Áo Sơ Mi Nam Ngắn Tay Cotton Kẻ Sọc Form Boxy,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25shs007-blue-1-jpg-5r24.webp,490000,ao-so-mi-tay-ngan-nam-ke-soc-boxy-007,blue,"S,M,L","Áo sơ mi nam ngắn tay kẻ sọc form boxy mang phong cách trẻ trung, cá tính. Thiết kế kẻ sọc năng động, dễ phối cùng nhiều trang phục, phù hợp cho đi học, đi làm hay đi chơi.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25shs007-blue-1-jpg-5r24.webp
16lf4EDAXX,Áo Sơ Mi Nữ Tay Dài Cotton Đứng Form Có Dây Rút,erqewew,clothes,0,https://media.routine.vn/1200x1500/prod/variant/10f25shlw016-pink-1-jpg-iz4c.webp,490000,ao-so-mi-tay-dai-nu-regular-016,pink,"XS,S,M,L","Áo sơ mi tay dài nữ form regular là item không thể thiếu trong tủ đồ của những cô nàng theo đuổi phong cách thanh lịch và tối giản. Với thiết kế cơ bản, dễ phối và phù hợp cho nhiều dịp, mẫu áo này mang lại vẻ ngoài chỉnh chu mà vẫn đầy nữ tính.",44,1,https://media.routine.vn/1200x1500/prod/variant/10f25shlw016-pink-1-jpg-iz4c.webp
xIw9FAnoa4,Áo Sơ Mi Nữ Ngắn Tay Cotton Vải Gân Vạt Bo Tròn,erqewew,clothes,0,https://media.routine.vn/1200x1500/prod/variant/10s25shsw005-pink-1-jpg-i257.webp,490000,ao-so-mi-tay-ngan-nu-vai-texture-loose-005,pink,"XS,S,M,L","Mẫu áo sơ mi tay ngắn nữ vải texture form loose mang đến vẻ đẹp nhẹ nhàng, hiện đại và dễ mặc cho nhiều hoàn cảnh. Bề mặt vải texture tạo điểm nhấn tinh tế, giúp trang phục trở nên nổi bật hơn mà vẫn giữ sự tối giản, thanh lịch.",0,1,https://media.routine.vn/1200x1500/prod/variant/10s25shsw005-pink-1-jpg-i257.webp
r6JN2Rncw2,Áo Sơ Mi Nữ Tay Dài Cotton Kẻ Sọc Dọc Túi Ngực,erqewew,clothes,0,https://media.routine.vn/1200x1500/prod/variant/10f25shlw002-blue-white-1-jpg-jhx6.webp,471000,ao-so-mi-nu-tay-dai-ke-soc-doc-02,blue,"XS,S,M,L","Mẫu áo sơ mi nữ tay dài đến từ Routine được thiết kế theo xu hướng thời trang hiện đại, mang đến sự tinh tế và thanh lịch trong từng đường nét. Với sự sáng tạo trong kiểu dáng và màu sắc, sản phẩm dễ dàng phối cùng nhiều items khác, giúp bạn biến hóa linh hoạt trong phong cách hằng ngày",0,1,https://media.routine.vn/1200x1500/prod/variant/10f25shlw002-blue-white-1-jpg-jhx6.webp
XTqSiPTCUA,Áo Thun Tanktop Nam Sát Nách Cotton Form Loose,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tto003-white-1-jpg-b2m4.webp,373000,ao-thun-ba-lo-nam-loose-003,white,"S,M,L,XL","Áo thun tanktop nam sát nách là lựa chọn lý tưởng cho phong cách năng động, khỏe khoắn. Thiết kế đơn giản nhưng tinh tế, dễ dàng phối hợp cùng quần jeans, short hoặc jogger, phù hợp cả khi đi tập luyện lẫn dạo phố.",46,1,https://media.routine.vn/1200x1500/prod/product/10s25tto003-white-1-jpg-b2m4.webp
dYlYS4Sp9X,Áo Thun Nam Tay Ngắn Cotton Cổ V Phối Viền In Chữ,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25tss026-white-alyssum-1-jpg-gd3b.webp,471000,ao-thun-tay-ngan-nam-co-v-loose-026,white,"S,M,L,XL","Áo thun nam tay ngắn form loose là lựa chọn thoải mái và hiện đại dành cho nam giới trong mọi hoạt động thường ngày. Với thiết kế trẻ trung, dễ phối đồ, sản phẩm mang đến sự năng động và phong cách.",0,1,https://media.routine.vn/1200x1500/prod/variant/10s25tss026-white-alyssum-1-jpg-gd3b.webp
3i4eOeB5fR,Áo Thun Nam Tay Ngắn Thêu Chữ Trước Ngực Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tss030-mint-1-jpg-ltv2.webp,343000,ao-thun-tay-ngan-nam-theu-fitted-030,green,"S,M,L,XL,XXL","Áo thun nam tay ngắn form fitted là lựa chọn hoàn hảo cho những ai yêu thích phong cách gọn gàng, năng động. Với thiết kế cơ bản nhưng tinh tế, chiếc áo dễ dàng kết hợp với nhiều trang phục khác nhau, phù hợp cho cả đi làm lẫn đi chơi.",46,1,https://media.routine.vn/1200x1500/prod/product/10s25tss030-mint-1-jpg-ltv2.webp
uDUq3CDDcF,Áo Thun Nam Tay Ngắn Cotton Thêu Chữ Phối Viền Cổ,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25tss027-white-alyssum-1-jpg-h06f.webp,471000,ao-thun-tay-ngan-nam-phoi-co-loose-027,white,"S,M,L,XL","Áo thun nam tay ngắn phối viền cổ mang đến phong cách trẻ trung, năng động với điểm nhấn đường viền tinh tế ở cổ áo. Thiết kế đơn giản nhưng hiện đại, dễ dàng phối với nhiều loại quần khác nhau, từ jeans, khaki đến short, phù hợp cho cả đi làm, đi học và dạo phố.",0,1,https://media.routine.vn/1200x1500/prod/variant/10s25tss027-white-alyssum-1-jpg-h06f.webp
I9DDxB9VAJ,Áo Thun Nam Tay Ngắn Cotton Hình In Ngực Trái,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tss024-green-1-jpg-poh8.webp,373000,10s25tss024,blue,"S,M,L,XL","Áo thun nam tay ngắn với điểm nhấn miếng patch ở ngực trái mang đến phong cách trẻ trung và cá tính. Thiết kế tối giản nhưng tinh tế, dễ dàng tạo ấn tượng và phù hợp với nhiều phong cách thời trang từ thường ngày đến streetwear hiện đại.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25tss024-green-1-jpg-poh8.webp
5eRhCOWZwr,Áo Thun Nam Tay Ngắn Cotton Phối Viền Tay Và Cổ,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tss023-tofu-1-jpg-h2cw.webp,392000,ao-thun-tay-ngan-nam-phoi-rib-fitted-023,white,"S,M,L,XL,XXL","Áo thun nam tay ngắn phối viền tay và cổ form fitted là lựa chọn hoàn hảo cho phong cách trẻ trung và hiện đại. Thiết kế viền màu tương phản ở cổ và tay áo tạo điểm nhấn tinh tế, giúp chiếc áo trở nên nổi bật hơn so với dáng thun basic thường thấy. Đây là item dễ mặc, phù hợp để đi làm, đi chơi hay dạo phố thường ngày.",16,1,https://media.routine.vn/1200x1500/prod/product/10s25tss023-tofu-1-jpg-h2cw.webp
zCwDMJaEeb,Áo Thun Nam Tay Ngắn Cổ Tròn Sọc Ngang Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tss039-black-white-1-jpg-8vw0.webp,392000,ao-thun-tay-ngan-nam-soc-ngang-fitted-039,black,"S,M,L,XL,XXL","Mẫu áo thun nam tay ngắn cổ tròn là sản phẩm chất lượng cao được Routine chăm chút kỹ lưỡng từ khâu chọn chất liệu đến sản xuất. Với thiết kế tinh tế và hiện đại, chiếc áo không chỉ mang lại sự thoải mái khi mặc mà còn giúp phái mạnh tự tin hơn trong mọi hoàn cảnh.",18,1,https://media.routine.vn/1200x1500/prod/product/10s25tss039-black-white-1-jpg-8vw0.webp
HDgozhD2V8,"Áo Thun Nam Tay Ngắn Cotton ""Friend Club"" Fitted",erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tss022-vapor-blue-1-jpg-8amz.webp,343000,ao-thun-tay-ngan-nam-co-hinh-in-fitted-022,blue,"S,M,L,XL,XXL","Áo thun nam tay ngắn thêu chữ ""Friend Club"" form fitted mang lại sự trẻ trung và năng động cho phong cách thường ngày. Thiết kế tối giản kết hợp cùng chi tiết thêu chữ tinh tế ở mặt trước, tạo điểm nhấn nổi bật nhưng vẫn giữ được sự thanh lịch. Đây là mẫu áo dễ mặc, phù hợp từ đi chơi, dạo phố đến gặp gỡ bạn bè.",32,1,https://media.routine.vn/1200x1500/prod/product/10s25tss022-vapor-blue-1-jpg-8amz.webp
uuZF27f6oN,Áo Thun Tanktop Nam Sát Nách Cotton Form Loose,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tto003-white-1-jpg-b2m4.webp,373000,ao-thun-ba-lo-nam-loose-003,white,"S,M,L,XL","Áo thun tanktop nam sát nách là lựa chọn lý tưởng cho phong cách năng động, khỏe khoắn. Thiết kế đơn giản nhưng tinh tế, dễ dàng phối hợp cùng quần jeans, short hoặc jogger, phù hợp cả khi đi tập luyện lẫn dạo phố.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25tto003-white-1-jpg-b2m4.webp
AeTrsVSI4P,Áo Thun Nam Tay Ngắn Cotton Cổ V Phối Viền In Chữ,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25tss026-white-alyssum-1-jpg-gd3b.webp,471000,ao-thun-tay-ngan-nam-co-v-loose-026,white,"S,M,L,XL","Áo thun nam tay ngắn form loose là lựa chọn thoải mái và hiện đại dành cho nam giới trong mọi hoạt động thường ngày. Với thiết kế trẻ trung, dễ phối đồ, sản phẩm mang đến sự năng động và phong cách.",0,1,https://media.routine.vn/1200x1500/prod/variant/10s25tss026-white-alyssum-1-jpg-gd3b.webp
k0P1oUYVJl,Áo Thun Nam Tay Ngắn Thêu Chữ Trước Ngực Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tss030-mint-1-jpg-ltv2.webp,343000,ao-thun-tay-ngan-nam-theu-fitted-030,green,"S,M,L,XL,XXL","Áo thun nam tay ngắn form fitted là lựa chọn hoàn hảo cho những ai yêu thích phong cách gọn gàng, năng động. Với thiết kế cơ bản nhưng tinh tế, chiếc áo dễ dàng kết hợp với nhiều trang phục khác nhau, phù hợp cho cả đi làm lẫn đi chơi.",10,1,https://media.routine.vn/1200x1500/prod/product/10s25tss030-mint-1-jpg-ltv2.webp
